sprite1,45,20,91,79
sprite2,171,20,96,79
sprite3,297,20,100,79
sprite4,423,20,104,79
sprite5,549,20,107,79
sprite6,677,20,110,79
sprite7,20,104,114,79
sprite8,153,104,116,79
sprite9,286,104,118,79
sprite10,420,104,121,79
sprite11,554,104,123,79
sprite12,688,104,124,79
sprite13,15,192,125,79
sprite14,149,192,126,79
sprite15,282,192,127,79
sprite16,417,192,128,79
sprite17,552,192,128,79
sprite18,687,192,127,79
sprite19,15,279,127,79
sprite20,149,279,127,79
sprite21,284,279,125,79
sprite22,420,279,124,79
sprite23,556,279,122,79
sprite24,691,279,120,79
sprite25,37,366,118,79
sprite26,166,366,116,79
sprite27,296,366,113,79
sprite28,425,366,110,79
sprite29,556,366,107,79
sprite30,686,366,103,79
sprite31,238,452,99,79
sprite32,368,452,95,79
sprite33,497,452,91,79
sprite34,32,464,11,19
sprite35,68,464,4,3
sprite36,73,464,7,18
sprite37,113,464,15,19
sprite38,145,464,3,18
sprite39,202,464,8,18
sprite40,596,465,21,18
sprite41,669,465,12,18
sprite42,683,465,3,3
sprite43,687,465,10,21
sprite44,699,465,12,18
sprite45,759,465,11,18
sprite46,45,468,15,19
sprite47,61,469,7,13
sprite48,69,469,2,13
sprite49,81,469,14,14
sprite50,96,469,9,14
sprite51,129,469,14,14
sprite52,150,469,14,14
sprite53,166,469,12,13
sprite54,180,469,14,18
sprite55,211,469,14,14
sprite56,635,469,7,14
sprite57,642,469,15,15
sprite58,619,470,14,14
sprite59,658,470,9,14
sprite60,683,470,3,13
sprite61,712,470,14,14
sprite62,729,470,12,13
sprite63,743,470,14,14
sprite64,771,470,14,14
sprite65,32,495,11,19
sprite66,107,495,11,18
sprite67,119,495,3,3
sprite68,129,495,11,19
sprite69,142,495,7,18
sprite70,157,495,4,3
sprite71,163,495,11,18
sprite72,597,495,5,18
sprite73,608,495,12,19
sprite74,621,495,12,19
sprite75,635,495,12,19
sprite76,662,495,15,18
sprite77,740,495,14,19
sprite78,756,495,3,3
sprite79,761,495,7,18
sprite80,45,500,14,14
sprite81,61,500,12,13
sprite82,75,500,14,18
sprite83,91,500,14,14
sprite84,119,500,3,13
sprite85,150,500,7,13
sprite86,158,500,2,13
sprite87,174,500,14,14
sprite88,190,500,7,13
sprite89,679,500,14,14
sprite90,701,500,14,14
sprite91,717,500,7,13
sprite92,724,500,14,14
sprite93,756,500,3,13
sprite94,648,510,4,5
sprite95,618,520,6,9
sprite96,632,520,9,9
sprite97,645,520,13,9
sprite98,659,520,3,8
sprite99,665,520,6,8
sprite100,673,520,32,9
sprite101,709,520,14,9
sprite102,726,520,22,9
sprite103,597,522,6,6
sprite104,604,522,6,7
sprite105,611,522,6,7
sprite106,625,522,6,7
