sprite1,13,16,42,42
sprite2,206,16,39,42
sprite3,352,16,33,42
sprite4,401,16,31,42
sprite5,451,16,27,42
sprite6,548,16,22,42
sprite7,596,16,21,42
sprite8,644,16,19,42
sprite9,61,17,42,41
sprite10,109,17,42,41
sprite11,157,17,41,41
sprite12,254,17,38,41
sprite13,303,17,36,41
sprite14,500,17,24,41
sprite15,21,65,17,42
sprite16,213,65,17,42
sprite17,260,65,19,42
sprite18,308,65,21,42
sprite19,451,65,27,42
sprite20,497,65,31,42
sprite21,544,65,33,42
sprite22,69,66,16,41
sprite23,118,66,15,41
sprite24,165,66,16,41
sprite25,356,66,22,41
sprite26,404,66,24,41
sprite27,591,66,36,41
sprite28,638,66,38,41
sprite29,14,114,39,42
sprite30,205,114,42,42
sprite31,399,114,40,42
sprite32,547,114,33,42
sprite33,597,114,30,42
sprite34,646,114,27,42
sprite35,61,115,41,41
sprite36,109,115,42,41
sprite37,157,115,42,41
sprite38,253,115,43,41
sprite39,302,115,41,41
sprite40,350,115,41,41
sprite41,448,115,38,41
sprite42,498,115,35,41
sprite43,74,163,22,43
sprite44,124,163,20,43
sprite45,174,163,18,43
sprite46,222,163,17,43
sprite47,414,163,17,43
sprite48,462,163,18,43
sprite49,508,163,20,43
sprite50,646,163,27,42
sprite51,24,164,24,41
sprite52,271,164,16,42
sprite53,320,164,14,42
sprite54,367,164,16,42
sprite55,554,164,22,42
sprite56,600,164,24,41
sprite57,21,212,30,42
sprite58,67,212,33,42
sprite59,207,212,40,42
sprite60,114,213,35,41
sprite61,160,213,38,41
sprite62,254,213,41,41
sprite63,302,213,41,41
sprite64,349,213,43,41
sprite65,405,213,6,11
sprite66,421,213,6,10
sprite67,428,213,4,10
sprite68,450,213,8,11
sprite69,468,213,1,10
sprite70,499,213,5,10
sprite71,517,213,12,10
sprite72,557,213,7,10
sprite73,565,213,2,10
sprite74,568,213,5,12
sprite75,574,213,7,10
sprite76,591,213,31,11
sprite77,412,215,8,11
sprite78,432,215,8,9
sprite79,441,215,5,9
sprite80,459,215,8,9
sprite81,470,215,8,9
sprite82,479,215,7,8
sprite83,487,215,8,11
sprite84,504,215,8,9
sprite85,529,215,27,9
sprite86,581,215,8,9
sprite87,623,221,2,3
sprite88,405,229,6,11
sprite89,447,229,8,10
sprite90,459,229,6,11
sprite91,466,229,31,11
sprite92,505,229,3,10
sprite93,511,229,7,11
sprite94,519,229,6,10
sprite95,526,229,7,11
sprite96,541,229,9,10
sprite97,572,229,29,11
sprite98,630,229,8,11
sprite99,648,229,8,11
sprite100,412,231,8,9
sprite101,421,231,7,8
sprite102,429,231,8,11
sprite103,438,231,8,9
sprite104,551,231,8,9
sprite105,563,231,8,9
sprite106,605,231,24,9
sprite107,639,231,8,9
sprite108,497,237,2,3
sprite109,534,237,2,3
sprite110,657,237,3,3
sprite111,406,246,8,11
sprite112,415,246,12,11
sprite113,431,246,7,10
sprite114,470,246,1,10
sprite115,472,246,8,11
sprite116,485,246,17,11
sprite117,514,246,3,10
sprite118,441,248,11,8
sprite119,453,248,8,9
sprite120,462,248,7,9
sprite121,507,248,7,8
sprite122,517,248,8,9
sprite123,526,248,8,9
